Timestamp,RawValue,FastSignal,SlowBaseline,PhasicSignal,Event
2025-09-10 17:08:11.737,57,28.50,28.50,0.00,
2025-09-10 17:08:11.737,53,38.08,36.70,1.39,
2025-09-10 17:08:11.737,57,43.86,41.80,2.06,
2025-09-10 17:08:11.737,53,46.14,44.05,2.10,
2025-09-10 17:08:11.737,57,48.40,46.22,2.18,
2025-09-10 17:08:11.737,53,49.22,47.19,2.03,
2025-09-10 17:08:11.737,57,50.43,48.43,2.00,
2025-09-10 17:08:11.737,53,50.79,48.94,1.85,
2025-09-10 17:08:11.737,57,51.55,49.75,1.80,
2025-09-10 17:08:11.737,54,51.83,50.14,1.69,
2025-09-10 17:08:11.737,57,52.36,50.71,1.65,
2025-09-10 17:08:11.737,54,52.51,50.97,1.55,
2025-09-10 17:08:11.737,57,52.91,51.40,1.51,
2025-09-10 17:08:11.737,54,53.00,51.57,1.42,
2025-09-10 17:08:11.737,57,53.30,51.92,1.39,
2025-09-10 17:08:11.737,54,53.35,52.04,1.31,
2025-09-10 17:08:11.737,57,53.60,52.32,1.28,
2025-09-10 17:08:11.737,54,53.62,52.41,1.22,
2025-09-10 17:08:11.737,57,53.83,52.64,1.19,
2025-09-10 17:08:11.737,54,53.84,52.70,1.14,
2025-09-10 17:08:11.737,56,53.96,52.85,1.10,
2025-09-10 17:08:11.737,54,53.96,52.90,1.06,
2025-09-10 17:08:11.745,56,54.06,53.03,1.03,
2025-09-10 17:08:11.798,55,54.11,53.11,0.99,
2025-09-10 17:08:11.847,56,54.19,53.22,0.97,
2025-09-10 17:08:11.896,55,54.23,53.29,0.94,
2025-09-10 17:08:11.945,56,54.31,53.39,0.92,
2025-09-10 17:08:11.998,55,54.33,53.44,0.89,
2025-09-10 17:08:12.048,56,54.40,53.53,0.87,
2025-09-10 17:08:12.097,55,54.42,53.58,0.85,
2025-09-10 17:08:12.146,55,54.44,53.62,0.82,
2025-09-10 17:08:12.199,55,54.46,53.66,0.80,
2025-09-10 17:08:12.248,55,54.48,53.70,0.78,
2025-09-10 17:08:12.297,56,54.53,53.77,0.77,
2025-09-10 17:08:12.351,55,54.55,53.80,0.75,
2025-09-10 17:08:12.400,56,54.60,53.86,0.73,
2025-09-10 17:08:12.449,55,54.61,53.89,0.72,
2025-09-10 17:08:12.498,57,54.68,53.97,0.71,
2025-09-10 17:08:12.551,55,54.69,54.00,0.69,
2025-09-10 17:08:12.601,57,54.76,54.07,0.68,
2025-09-10 17:08:12.650,55,54.76,54.09,0.67,
2025-09-10 17:08:12.699,57,54.83,54.16,0.66,
2025-09-10 17:08:12.752,54,54.80,54.16,0.64,
2025-09-10 17:08:12.801,57,54.86,54.22,0.64,
2025-09-10 17:08:12.850,55,54.87,54.24,0.63,
2025-09-10 17:08:12.900,58,54.95,54.32,0.63,
2025-09-10 17:08:12.953,55,54.95,54.33,0.61,
2025-09-10 17:08:13.002,58,55.02,54.41,0.61,
2025-09-10 17:08:13.051,54,55.00,54.40,0.60,
2025-09-10 17:08:13.100,58,55.07,54.47,0.60,
2025-09-10 17:08:13.153,55,55.07,54.48,0.58,
2025-09-10 17:08:13.203,58,55.14,54.55,0.59,
2025-09-10 17:08:13.252,55,55.13,54.56,0.57,
2025-09-10 17:08:13.301,58,55.20,54.62,0.58,
2025-09-10 17:08:13.354,55,55.19,54.63,0.56,
2025-09-10 17:08:13.403,58,55.25,54.69,0.57,
2025-09-10 17:08:13.452,55,55.25,54.69,0.56,
2025-09-10 17:08:13.502,58,55.31,54.75,0.56,
2025-09-10 17:08:13.555,54,55.28,54.74,0.54,
2025-09-10 17:08:13.604,58,55.34,54.79,0.55,
2025-09-10 17:08:13.653,55,55.33,54.79,0.53,
2025-09-10 17:08:13.706,58,55.38,54.85,0.54,
2025-09-10 17:08:13.756,55,55.38,54.85,0.53,
2025-09-10 17:08:13.805,57,55.41,54.88,0.53,
2025-09-10 17:08:13.854,55,55.40,54.88,0.52,
2025-09-10 17:08:13.907,57,55.43,54.91,0.52,
2025-09-10 17:08:13.956,55,55.42,54.92,0.51,
2025-09-10 17:08:14.005,57,55.45,54.95,0.51,
2025-09-10 17:08:14.055,55,55.44,54.95,0.50,
2025-09-10 17:08:14.108,57,55.47,54.98,0.50,
2025-09-10 17:08:14.157,56,55.48,54.99,0.49,
2025-09-10 17:08:14.206,57,55.51,55.02,0.49,
2025-09-10 17:08:14.257,56,55.52,55.03,0.48,
2025-09-10 17:08:14.308,57,55.54,55.06,0.48,
2025-09-10 17:08:14.358,56,55.55,55.07,0.48,
2025-09-10 17:08:14.407,56,55.56,55.08,0.47,
2025-09-10 17:08:14.456,56,55.56,55.09,0.47,
2025-09-10 17:08:14.509,56,55.57,55.11,0.47,
2025-09-10 17:08:14.558,57,55.59,55.13,0.46,
2025-09-10 17:08:14.608,56,55.60,55.14,0.46,
2025-09-10 17:08:14.657,57,55.62,55.16,0.46,
2025-09-10 17:08:14.710,56,55.63,55.17,0.46,
2025-09-10 17:08:14.759,57,55.65,55.20,0.45,
2025-09-10 17:08:14.808,56,55.66,55.21,0.45,
2025-09-10 17:08:14.858,57,55.68,55.23,0.45,
2025-09-10 17:08:14.912,55,55.67,55.22,0.44,
2025-09-10 17:08:14.960,58,55.70,55.26,0.44,
2025-09-10 17:08:15.009,55,55.69,55.25,0.44,
2025-09-10 17:08:15.062,58,55.72,55.28,0.44,
2025-09-10 17:08:15.112,55,55.71,55.28,0.43,
2025-09-10 17:08:15.161,58,55.75,55.31,0.44,
2025-09-10 17:08:15.210,55,55.74,55.31,0.43,
2025-09-10 17:08:15.263,58,55.77,55.34,0.43,
2025-09-10 17:08:15.312,55,55.76,55.33,0.42,
2025-09-10 17:08:15.361,59,55.80,55.37,0.43,
2025-09-10 17:08:15.413,55,55.79,55.37,0.42,
2025-09-10 17:08:15.464,59,55.84,55.40,0.43,
2025-09-10 17:08:15.513,56,55.84,55.41,0.43,
2025-09-10 17:08:15.562,59,55.88,55.45,0.43,
2025-09-10 17:08:15.613,55,55.87,55.44,0.43,
2025-09-10 17:08:15.664,59,55.91,55.48,0.43,
2025-09-10 17:08:15.713,56,55.91,55.48,0.43,
2025-09-10 17:08:15.763,60,55.97,55.53,0.44,
2025-09-10 17:08:15.812,56,55.97,55.53,0.44,
2025-09-10 17:08:15.865,60,56.02,55.57,0.45,
2025-09-10 17:08:15.915,56,56.02,55.58,0.44,
2025-09-10 17:08:15.963,60,56.07,55.62,0.46,
2025-09-10 17:08:16.013,57,56.09,55.63,0.46,
2025-09-10 17:08:16.066,60,56.14,55.67,0.47,
