timestamp,left_eye_openness,right_eye_openness,left_pupil_diam,right_pupil_diam,gaze_x,gaze_y
0.0,0.8,0.9,3.2,3.1,500,400
0.3,0.1,0.1,3.1,3.0,505,402
0.6,0.8,0.9,3.3,3.2,508,404
0.9,0.9,0.8,3.4,3.3,510,405
1.2,0.1,0.1,3.2,3.1,512,406
1.5,0.8,0.9,3.5,3.4,515,408
1.8,0.9,0.8,3.6,3.5,517,410
2.1,0.1,0.1,3.3,3.2,520,412
2.4,0.8,0.9,3.7,3.6,522,413
2.7,0.9,0.8,3.8,3.7,524,414
3.0,0.1,0.1,3.9,3.8,540,420
3.2,0.8,0.9,4.0,3.9,560,380
3.4,0.1,0.1,4.1,4.0,600,450
3.6,0.8,0.9,4.2,4.1,650,300
3.8,0.1,0.1,4.3,4.2,700,500
4.0,0.8,0.9,4.4,4.3,750,350
4.2,0.1,0.1,4.5,4.4,800,520
4.4,0.8,0.9,4.6,4.5,850,380
4.6,0.1,0.1,4.7,4.6,900,540
4.8,0.8,0.9,4.8,4.7,950,400
5.0,0.1,0.1,4.9,4.8,1000,560
5.2,0.8,0.9,5.0,4.9,900,500
5.4,0.1,0.1,5.1,5.0,950,450
5.6,0.8,0.9,5.2,5.1,980,520
5.8,0.1,0.1,5.3,5.2,920,480
6.0,0.8,0.9,5.4,5.3,940,500
6.3,0.1,0.1,5.5,5.4,700,420
6.6,0.8,0.9,5.6,5.5,690,415
6.9,0.9,0.8,5.7,5.6,680,410
7.2,0.1,0.1,5.8,5.7,670,405
7.5,0.8,0.9,5.9,5.8,660,400
7.8,0.9,0.8,6.0,5.9,650,395
8.1,0.1,0.1,6.1,6.0,645,392
8.4,0.8,0.9,6.2,6.1,640,390
8.7,0.9,0.8,6.3,6.2,635,388
9.0,0.1,0.1,6.4,6.3,630,386
9.3,0.8,0.9,6.5,6.4,625,384
9.6,0.1,0.1,6.6,6.5,700,300
9.8,0.8,0.9,6.7,6.6,680,320
10.0,0.1,0.1,6.8,6.7,720,280
10.2,0.8,0.9,6.9,6.8,690,310
10.4,0.1,0.1,7.0,6.9,730,270
10.6,0.8,0.9,7.1,7.0,700,300
10.8,0.1,0.1,7.2,7.1,740,260
11.0,0.8,0.9,7.3,7.2,710,290
11.2,0.1,0.1,7.4,7.3,750,250
11.4,0.8,0.9,7.5,7.4,720,280
11.6,0.1,0.1,7.6,7.5,760,240
11.8,0.8,0.9,7.7,7.6,730,270
12.0,0.1,0.1,7.8,7.7,770,230
12.2,0.8,0.9,7.9,7.8,740,260
12.5,0.1,0.1,8.0,7.9,600,420
12.8,0.8,0.9,8.1,8.0,602,422
13.1,0.9,0.8,8.2,8.1,604,424
13.4,0.1,0.1,8.3,8.2,606,426
13.7,0.8,0.9,8.4,8.3,608,428
14.0,0.9,0.8,8.5,8.4,610,430
14.3,0.1,0.1,8.6,8.5,612,432
14.6,0.8,0.9,8.7,8.6,614,433
14.9,0.9,0.8,8.8,8.7,616,434
15.2,0.1,0.1,8.9,8.8,618,435
15.5,0.8,0.9,9.0,8.9,620,436
